scenario,corrupt_type,strength,acc,f1,p50_latency_ms,p90_latency_ms,throughput
Clean Baseline,,0.0,0.6544868350349274,0.6116621779017763,0.3431737422943115,0.40457546710968023,2237.788010994143
Stress: Token Masking (Low),mask,0.1,0.6491133799032778,0.60749365731238,0.33448636531829834,0.41248202323913574,2858.027459676694
Stress: Token Masking (High),mask,0.3,0.600214938205266,0.5738367325833069,0.3857612609863281,0.4636526107788086,2528.573837247011
Stress: Char Noise (Low),noise,0.05,0.6749059645351961,0.6094238098822726,0.3274381160736084,0.3914713859558106,2958.4226301740127
Stress: Char Noise (Med),noise,0.1,0.6829661472326706,0.5955980930324379,0.3720968961715698,0.4491150379180908,2596.854845505776
Stress: Char Noise (High),noise,0.2,0.6851155292853305,0.5903738727774823,0.3644675016403198,0.45551359653472906,2615.7378103435976
Adversarial: Synonym (White-box proxy),synonym,0.15,0.630306286942504,0.588212894494445,0.33317506313323975,0.41361153125762945,2857.535472912481
OOD: Short Context,,0.0,0.5714285714285714,0.56575682382134,0.6221383810043335,4.844034711519877,431.28597216827006
